Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09931866079568863,0.09975045709587227,0.09931866079568863,0.09931866079568863,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09456895834563256,0.09456895834563256,0.09413716197013855,0.09413716197013855,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.08765947033116839,0.08765947033116839,0.08722767978906631,0.08722767978906631,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08938661962747574,0.089818415817128,0.08938661962747574,0.08938661962747574,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09197817742824554,0.09240996794460067,0.09197817742824554,0.09197817742824554,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09759147465229034,0.09802327089728449,0.09759147465229034,0.09759147465229034,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10234121978282928,0.10277378863581974,0.10234121978282928,0.10234121978282928,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.10665995627641678,0.10709175270587672,0.10665995627641678,0.10665995627641678,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11227323859930038,0.11270503488773931,0.11227323859930038,0.11227323859930038,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12263704091310501,0.12306883715932282,0.12263704091310501,0.12263704091310501,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12436421960592269,0.1247960158703298,0.12436421960592269,0.1243642196059227,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12177343784606025,0.12177343784606025,0.12134165316820145,0.12134165316820145,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11831909942968186,0.11831909942968186,0.11788730323314667,0.11788730323314667,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11918275803327562,0.1200463509896566,0.11918275803327562,0.1191827580332756,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11702373750520594,0.11702373750520594,0.11659195274114609,0.11659195274114609,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11184143059493655,0.11184143059493655,0.11140963435173036,0.11140963435173035,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10709175270587672,0.10709175270587672,0.10665995627641678,0.10665995627641678,55686400,0.0,0.0
1981-01-08 00:00:00-05:00,0.10493272660247116,0.10493272660247116,0.10450094193220139,0.10450094193220139,39827200,0.0,0.0
